	Mouthfeel	Number of meats	Ingredient count	Number of numbered dyes	Name quality	Animals harmed	Value happiness	Celebrity sponsorship	nostaligia	impact	smell strength	surprise
Mighty Swell	3	0	6	0	3	0	4	0	1.5	2	0.5	-2
Tijuana mama	0	3	15	2	5	4	0	0	2	5	5	-5
fun dip	2	0	8	3	3.5	0	4	0	5	2	2	0
shaqalicious	4	0	13	4	5	1	4	5	4	4	2	3
doritos mini	3.5	0	27	3	1	1	4	0	1	1.5	3	1
spicy queso tomato puffs	1.5	0	22	0	0	0.5	1	0	0	1	4	-4
big zesty schilling hard "lemonade"	2	0	8	0	4	0	3	0	0	1.5	2	-1
ginger orange juniper baco pop	0.5	0	6	0	1	0	1	0	0	1.5	1	-1
caramel lime baco pop	0.5	0	6	0	1	0	0.5	0	0	0.5	1	-2
rootbeer & chocolate	0.5	0	6	0	1	0	0.5	0	0	2	2	-2
oasis vibe prickly pear lime edition celcius	1	0	21	0	2	0	1.5	0	1	0.5	3.5	1
bold buffalo sanck bites	3	0	31	0	3	1	3	0.5	0	1	0	0
glowpop	0	0	13	0	2.5	1	0	0	0	4	4	-3
stok cold brew energy drink	3	0	13	0	1.5	1	2	0	0	0.5	3	0
shirakiku grape ramune	3	0	9	3	0.5	0	1	0	3	1	2	0
Zack's Mighty Rolled Tortilla Chips	4	0	19	0	3	0	4	0.5	3	2	3	2
Cooked Ham	0.5	1	9	0	3	1	1.5	0	1	2	3	0
Napa Cabbage Kim-Chi	2	1	12	0	0.5	2	1	0	3	2	4	-1
powercrunch protein crisps	1.5	0	17	0	2	0	2	0	2	1	2	-0.5
honey bbq fatty mini	2	1	15	0	4.5	2	1.5	0	3	0.5	1	1
thirsty buddha cream soda	3.5	0	8	0	5	0	4.5	4	3.5	3	1	4
Jacks links meat stick & cheese	1.5	2	29	1	1	2	2	0	2	0	1.5	0
daytrip cbd cherry sparkiling water	1	0	8	0	2.5	0	1	0	0	1	2.5	-1.5
Nico nico strawberry	4	0	10	1	4.5	0	2.5	0.5	3.5	2	2	3
pringles mingles ranch	2.5	0	26	0	4	0	1	0.5	1	2	3	-1
nestle milo chocolate energy drink	1	0	21	0	1	2	0	0.5	2	2	1.5	-0.5
turtle chips	4	0	28	0	3.5	1	4.5	0	1	3.5	1.5	3
Be Happy cotton-cany popcorn	2	0	5	1	0	0	0	-0.5	0	1	2.5	-1
Luke's cheddar lightning bolts	2.5	0	20	0	0	0	1.5	0	3	0.5	0.5	0
Shirakiku red bean cake	3	0	31	0	0.5	0	2	0	2.5	1.5	0.5	2
Plezi fizz orange mango	3	0	8	0	3	0	0.5	4	2	1	3	-0.5
Ice ade green grape	2	0	12	2	1.5	0	2	0	2.5	1.5	3.5	1
ritz bits	2	0	33	0	2.5	0	3	0	4	0.5	1	0
hippeas cheese puffs	1.5	0	14	0	3.5	0	2.5	0	1.5	1	1	1
froot loop ice cream	4	0	42	4	2.5	0	3.5	0	5	3	3	4.5
pumpkin spice mochi	4	0	40	0	0.5	0	1.5	0	2.5	1.5	0	1
No Brand gorgonzola cheese soft corn	3.5	0	11	0	3	0	2.5	0	1	0.5	2.5	2.5
nature togo bbq banana chips	2.5	0	7	0	0.5	0	2.5	0	0.5	1	2	2
arizona mucho mango ice pops	4	0	9	0	3.5	0	5	0	3.5	3	0	2
pops ice cream	4	0	32	0	1	0	0.5	0	0	1	0.5	-0.5
pringles hot ones	4	0	29	1	2	0	3.5	1.5	3	1.5	2.5	1
goldfish mega cheddar jalapeño	4	0	21	0	3	0	4.5	1	3.5	2.5	0.5	2
noca breezy tropical juice	3	0	5	0	3.5	0	2.5	0	3	1	1.5	0